Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d.4s2"	"c 2D"	"5/2"	" 0.229575189"	"0.000000012"	""	"  71         :    15  3d3                 d 2D1 "	"L17885"
"3d2.(3F).4p"	"z 4G*"	"5/2"	" 0.269228875"	"0.000000005"	""	"  98                                            "	"L17885"
"3d2.(3F).4p"	"z 4G*"	"7/2"	" 0.270961800"	"0.000000006"	""	"  99                                            "	"L17885"
"3d2.(3F).4p"	"z 4G*"	"9/2"	" 0.273091521"	"0.000000006"	""	" 100                                            "	"L17885"
"3d2.(3F).4p"	"z 4G*"	"11/2"	" 0.275575718"	"0.000000008"	""	" 100                                            "	"L17885"
"3d2.(3F).4p"	"z 4F*"	"3/2"	" 0.281002181"	"0.000000006"	""	"  97                                            "	"L17885"
"3d2.(3F).4p"	"z 4F*"	"5/2"	" 0.282115381"	"0.000000005"	""	"  98                                            "	"L17885"
"3d2.(3F).4p"	"z 4F*"	"7/2"	" 0.283528681"	"0.000000005"	""	"  98                                            "	"L17885"
"3d2.(3F).4p"	"z 2F*"	"5/2"	" 0.284383766"	"0.000000006"	""	"  85                                            "	"L17885"
"3d2.(3F).4p"	"z 4F*"	"9/2"	" 0.285236295"	"0.000000006"	""	"  99                                            "	"L17885"
"3d2.(3F).4p"	"z 2F*"	"7/2"	" 0.286966357"	"0.000000005"	""	"  88                                            "	"L17885"
"3d2.(3F).4p"	"z 2D*"	"3/2"	" 0.289387802"	"0.000000008"	"0.92"	"  82                                            "	"L17885"
"3d2.(1S).4s"	"a 2S"	"1/2"	" 0.28967297"	"0.00000003"	""	" 100                                            "	"L17885"
"3d2.(3F).4p"	"z 2D*"	"5/2"	" 0.291838663"	"0.000000006"	"1.20"	"  77                                            "	"L17885"
"3d3"	"d 2D1"	"3/2"	" 0.294115872"	"0.000000015"	""	"  58         :    25  3d.4s2              c 2D  "	"L17885"
"3d3"	"d 2D1"	"5/2"	" 0.294639092"	"0.000000009"	""	"  57         :    27  3d.4s2              c 2D  "	"L17885"
"3d2.(3F).4p"	"z 4D*"	"1/2"	" 0.296456625"	"0.000000007"	"0.00"	"  97                                            "	"L17885"
"3d2.(3F).4p"	"z 4D*"	"3/2"	" 0.297096993"	"0.000000005"	"1.20"	"  94                                            "	"L17885"
"3d2.(3F).4p"	"z 4D*"	"5/2"	" 0.297967032"	"0.000000005"	"1.37"	"  90                                            "	"L17885"
"3d2.(3F).4p"	"z 4D*"	"7/2"	" 0.298596661"	"0.000000009"	""	"  96                                            "	"L17885"
